advertising_spend,store_location,hours_open,promotion_active,local_population,weekly_sales
9520,Urban,87,Yes,126342,73616
4549,Urban,88,No,139570,55387
2236,Rural,73,No,11011,17084
3473,Rural,69,No,27585,22646
5810,Suburban,70,Yes,84783,47018
6213,Suburban,77,Yes,55895,46183
3943,Rural,81,No,25671,27564
2285,Rural,61,Yes,17044,22282
7202,Urban,92,Yes,112630,70480
6008,Suburban,62,Yes,70821,46925
3230,Suburban,86,No,117524,46797
3640,Suburban,85,No,112345,46586
4412,Urban,101,No,88871,46531
5578,Suburban,81,Yes,99588,58705
3238,Suburban,64,No,66134,32331
3536,Suburban,82,No,94744,43495
6525,Urban,91,No,136143,55989
3798,Suburban,68,No,92854,31450
3623,Suburban,71,No,79928,29961
4453,Suburban,77,No,97644,35574
5341,Urban,88,No,168996,58510
2942,Rural,62,No,20424,18531
3469,Rural,56,No,27347,22429
3803,Rural,69,Yes,14796,27240
5641,Urban,80,No,123423,52712
5540,Suburban,78,Yes,58482,46966
6439,Urban,69,Yes,144706,55025
5275,Suburban,87,Yes,70580,53530
4222,Suburban,75,Yes,39471,32688
5649,Urban,73,Yes,147502,57628
5858,Urban,83,No,112375,50237
6088,Urban,70,Yes,105571,49620
1719,Rural,65,No,34931,17309
3932,Suburban,70,No,54389,29598
6044,Suburban,83,No,45917,31080
1167,Urban,86,No,142343,48640
7589,Urban,69,No,75541,36327
2886,Rural,65,No,19230,18852
8241,Urban,79,Yes,79552,56962
4772,Urban,90,No,105088,49383
3435,Rural,61,No,13784,17997
7711,Urban,69,No,83875,39270
9282,Urban,78,Yes,164414,71087
6830,Urban,100,No,123141,60950
4636,Suburban,94,Yes,75155,54620
5136,Suburban,79,No,59395,36083
3858,Rural,71,No,7000,23108
5466,Urban,82,No,140540,53529
1424,Rural,71,No,31840,15936
4332,Suburban,78,No,117687,37306
3475,Suburban,61,No,68311,30063
7257,Suburban,66,Yes,94961,56015
4952,Suburban,78,No,77514,38649
3254,Suburban,80,No,33818,25486
2906,Suburban,78,No,90510,40734
4058,Rural,61,Yes,11448,25416
4646,Suburban,80,No,73041,36503
3156,Suburban,74,No,84060,35179
2272,Suburban,72,No,52000,25415
2613,Suburban,65,No,34990,25689
4320,Rural,63,Yes,38696,27926
8696,Urban,89,Yes,122366,76617
5659,Urban,84,No,88105,35577
5733,Urban,82,No,100460,49958
4701,Suburban,74,No,103330,35976
2364,Rural,60,No,18033,14833
4431,Suburban,64,No,101493,34281
2865,Suburban,78,Yes,37211,30221
3617,Suburban,78,No,94250,41881
5627,Suburban,56,No,84204,32174
7189,Urban,84,Yes,163220,72081
4161,Suburban,82,No,78669,36389
7591,Urban,92,Yes,90383,68951
2181,Rural,71,No,7000,19933
4112,Suburban,74,Yes,96624,37505
772,Rural,74,No,34500,21001
5778,Urban,87,Yes,156685,68327
3644,Suburban,72,No,106899,36093
4012,Rural,65,Yes,23037,29261
3345,Suburban,74,No,110086,38285
4369,Suburban,79,Yes,131908,49797
1581,Rural,63,No,35011,15905
2810,Suburban,87,Yes,43631,36408
1832,Suburban,76,No,69478,33549
2792,Suburban,82,No,68753,34166
2681,Rural,65,Yes,22830,23908
2500,Rural,58,Yes,44452,25861
2169,Rural,64,No,28761,16903
8813,Urban,95,Yes,90041,70360
3522,Rural,67,Yes,25469,22859
3609,Suburban,85,No,85180,33488
5128,Urban,89,No,128615,57449
2388,Rural,63,No,7000,15209
1818,Suburban,80,No,112946,40982
2748,Urban,75,No,166158,40887
3491,Rural,65,Yes,38724,25845
3978,Suburban,69,No,59375,26041
4618,Urban,80,No,86828,37855
5501,Suburban,92,Yes,80702,54555
3608,Rural,61,Yes,29021,23799
5246,Urban,90,No,95066,47970
6336,Urban,67,No,85049,39069
7153,Urban,78,Yes,162142,64525
3260,Suburban,80,No,115157,42955
3179,Rural,61,Yes,40328,24283
3880,Urban,92,No,190503,56097
5726,Urban,77,No,183844,44432
6301,Suburban,73,Yes,129950,53210
2282,Suburban,84,Yes,83784,40138
6797,Urban,90,No,167172,63659
6460,Urban,83,No,200000,53204
4528,Suburban,74,No,83455,36132
2790,Suburban,72,No,74243,34438
4718,Urban,75,Yes,150685,55681
4910,Suburban,67,No,78447,36117
5807,Urban,90,Yes,160979,74830
5613,Suburban,76,No,79866,38761
2568,Rural,59,No,15631,15009
1115,Rural,64,No,15269,13700
