months_as_customer,hrs_watched_last_month,subscription_plan,has_multiple_profiles,cancel
12,64,Premium,Yes,No
35,79,Standard,Yes,No
62,55,Standard,No,No
31,34,Standard,Yes,Yes
21,20,Standard with Ads,No,Yes
23,73,Standard with Ads,Yes,No
50,72,Premium,No,No
32,76,Standard with Ads,Yes,No
42,42,Standard with Ads,No,No
62,70,Standard with Ads,Yes,No
71,34,Premium,Yes,No
22,67,Standard,Yes,No
42,42,Standard with Ads,Yes,No
34,79,Standard,No,No
36,56,Standard,No,No
20,80,Premium,No,No
14,25,Standard with Ads,No,No
69,109,Premium,Yes,No
34,50,Standard with Ads,No,Yes
75,78,Standard,No,No
23,75,Standard,Yes,No
51,90,Standard,Yes,No
13,0,Standard,No,Yes
120,160,Premium,Yes,No
58,20,Premium,No,Yes
71,96,Premium,Yes,No
93,126,Standard,Yes,No
72,61,Premium,No,Yes
82,96,Standard,Yes,No
37,79,Standard with Ads,No,Yes
18,58,Standard,Yes,No
10,0,Standard with Ads,No,Yes
69,107,Premium,Yes,No
10,81,Standard with Ads,No,No
25,49,Standard with Ads,No,Yes
50,0,Standard with Ads,No,No
29,62,Standard with Ads,No,Yes
48,103,Premium,No,No
15,46,Premium,Yes,No
93,105,Premium,Yes,No
3,23,Standard with Ads,No,Yes
50,83,Premium,No,No
120,117,Premium,Yes,No
17,58,Standard with Ads,Yes,No
61,0,Standard with Ads,No,Yes
43,73,Premium,Yes,No
29,55,Premium,Yes,No
16,107,Premium,Yes,No
13,25,Premium,Yes,Yes
25,0,Standard with Ads,Yes,Yes
28,28,Premium,No,Yes
56,91,Standard,Yes,No
48,81,Standard,No,No
65,55,Standard,Yes,No
10,10,Standard,No,No
120,59,Standard,Yes,No
46,120,Standard,Yes,No
18,38,Standard,No,Yes
14,48,Standard with Ads,No,No
120,88,Premium,Yes,No
28,43,Standard with Ads,Yes,No
30,40,Standard with Ads,No,Yes
27,45,Standard,No,No
13,54,Premium,No,No
91,100,Premium,No,No
19,33,Standard with Ads,No,No
21,5,Standard with Ads,No,Yes
120,105,Premium,Yes,No
67,73,Premium,No,No
10,40,Standard,Yes,No
25,45,Premium,No,No
23,35,Standard with Ads,No,Yes
10,26,Standard,No,Yes
34,42,Standard with Ads,Yes,No
23,30,Standard with Ads,No,Yes
26,24,Standard,No,Yes
10,62,Standard,Yes,No
30,111,Premium,Yes,No
87,105,Premium,Yes,No
61,64,Standard with Ads,Yes,No
40,15,Standard,No,No
56,67,Standard with Ads,Yes,No
12,65,Standard,No,No
14,42,Standard,No,Yes
